brand,store_name,lat,lng
"サークルK","豊川代田町",34.8266503,137.3629094
"サークルK","小坂井町",34.8017979,137.3616166
"サークルK","磐田岩井原",34.7500214,137.8730415
"サークルK","島田旭三丁目",34.8295915,138.1939342
"サークルK","藤枝忠兵衛",34.8370916,138.2463555
"サークルK","静岡おおや",34.9495829,138.4365446
"サークルK","浜松有玉北町",34.7695893,137.7574992
"サークルK","蒲郡形原",34.8072953,137.1871349
"サークルK","浜松湖東高校前",34.7339314,137.659809
"サークルK","清水にしくぼ",35.0382232,138.4828606
"サークルK","袋井市役所前",34.7507952,137.9257861
"サークルK","浜松新橋南",34.679901,137.7095653
"サークルK","牧之原西萩間",34.726506,138.1633235
"サークルK","浜松中田町",34.735284,137.7611865
"サークルK","浜松大平台三丁目",34.7120091,137.6813882
"サークルK","浜松小池町",34.7426722,137.7569005
"サークルK","清水清開南",34.9933202,138.4947037
"サークルK","豊橋多米西町",34.7623725,137.4403569
"サークルK","菊川東横地",34.7297685,138.0976858
"サークルK","静岡向敷地",34.9653428,138.3560775
"サークルK","吉田かたおか",34.7794009,138.2553564
"サークルK","静岡安倍口新田",35.0210789,138.3604026
"サークルK","豊橋牟呂",34.7468837,137.3531329
"サークルK","富士富士川",35.1705115,138.6185753
"サークルK","静岡下島南",34.9489855,138.4099948
"サークルK","焼津石津南",34.8400065,138.3173585
"サークルK","豊川御油町",34.8429029,137.322713
"サークルK","島田ひがし町",34.8355552,138.2147592
"サークルK","浜松城北二丁目",34.7234476,137.7192205
"サークルK","浜松細江三和",34.8154331,137.6849721
"サークルK","清水富士見町",35.0102933,138.4889394
"サークルK","沼津おおの",35.1374642,138.8054173
"サークルK","浜北こばやし",34.8097346,137.7903337
"サークルK","磐田大久保",34.7707867,137.8474557
"サークルK","清水東大曲町",35.0200791,138.476049
"サークルK","磐田富士見",34.734469,137.8674207
"サークルK","袋井かわい",34.7467294,137.9112775
"サークルK","浜松寺脇町",34.6855442,137.7507417
"サークルK","御前崎新川橋西",34.647324,138.1371063
"サークルK","藤枝青南町",34.8371846,138.234014
"サークルK","焼津大覚寺",34.8751884,138.2962626
"サークルK","磐田新貝",34.7213098,137.8863271
"サークルK","静岡丸子六丁目",34.9483265,138.3503678
"サークルK","御殿場古沢",35.3367812,138.9357043
"サークルK","清水興津駅前",35.0518455,138.5231496
"サークルK","伊豆熱川",34.8151804,139.071487
"サークルK","湖西坊瀬",34.7043561,137.518989
"サークルK","豊橋花田町",34.7610114,137.3668081
"サークルK","袋井栄町",34.7425,137.9208409
"サークルK","静岡大岩二丁目",34.9955161,138.3828129
"サークルK","河津見高",34.7622951,139.0208996
"サークルK","富士山静岡空港北",34.8093296,138.135571
"サークルK","浜松旭町",34.7053097,137.7323413
"サークルK","豊橋三本木",34.7285384,137.3950442
"サークルK","大井川富士見橋",34.802478,138.2641026
"サークルK","静岡曲金南",34.9795073,138.4126242
"サークルK","伊東川奈",34.9471551,139.118509
"サークルK","清水インター",35.040134,138.4825936
"サークルK","牧之原細江",34.7457292,138.2377434
"サークルK","牧之原静波",34.736343,138.2234671
"サークルK","島田神座",34.8642706,138.1266292
"サークルK","静岡千代",34.9849457,138.3526509
"サークルK","浜松きたじま",34.7299069,137.7797782
"サークルK","静岡北安東",35.0022205,138.3910769
"サークルK","函南丹那",35.0996099,139.0095621
"サークルK","湖西中之郷",34.7061902,137.5478187
"サークルK","清水草薙駅前",35.0028253,138.4427096
"サークルK","豊橋瓜郷町",34.7858599,137.3739773
"サークルK","藤枝岡部町",34.9008713,138.2967195
"サークルK","清水興津中町",35.0617414,138.5248801
"サークルK","静岡馬渕三丁目",34.9640715,138.386888
"サークルK","浜松天神町",34.7094146,137.7495187
"サークルK","豊橋中郷",34.7535044,137.3795384
"サークルK","浜松東三方町",34.7795109,137.7366245
"サークルK","豊川四ツ谷町",34.8171834,137.3684733
"サークルK","新城東沖野",34.9037246,137.5094447
